id,user,likes,dislikes,followers
2,skilmurray1,2875,3398,10588
3,vhowgego2,2637,3489,16490
4,mmcsporrin3,1126,2380,17422
6,bhutchence5,1046,1394,12661
7,epetr6,2379,2978,16518
8,pcucinotta7,1896,2446,11443
9,mlumly8,1100,1229,13074
10,mduerden9,2237,3117,14075
13,hfenlonc,2213,3395,11445
15,dlabese,2737,3271,12757
16,gpettettf,620,823,10995
18,rrosewarneh,2110,2480,12956
19,dmayoi,952,2313,19854
20,dgannanj,533,1443,19887
23,zfurseym,882,2349,16793
24,asummersiden,1957,1994,14815
25,hdaykino,1516,3371,18867
27,jlysterq,2287,2916,12579
29,gmerrgans,632,1849,13654
30,kdalgarnot,2136,3085,18638
32,nthurlbeckv,1358,1712,18328
33,scroalw,848,2693,13958
34,nlearnedx,865,1113,17459
36,flagez,1978,3066,16236
39,jdeackes12,901,3079,16990
40,rworsley13,2362,2636,13788
41,hdominetti14,2210,3401,16729
42,kitzakovitz15,557,3323,14029
43,tpfeffer16,2908,3367,15113
49,mboycott1c,514,555,19921
52,scawse1f,1618,2682,10148
55,ctabour1i,1005,2668,16459
56,mtithecott1j,1702,3250,11883
60,cburder1n,864,2248,11590
63,cgossling1q,2144,2893,12365
64,snoller1r,643,871,14326
67,chintzer1u,708,2002,17123
68,svasin1v,648,1802,17472
69,gletts1w,1167,2915,15995
70,jjosefsen1x,1089,2381,12228
71,tmckeaney1y,1039,3402,18461
72,mlorden1z,1204,2131,19367
73,cdmitrievski20,1771,3099,16934
75,agehringer22,1740,3276,11414
76,mgerriet23,1719,2325,18241
77,mlovatt24,1301,2618,11710
78,pboyack25,1901,2952,14694
80,mvossgen27,997,2726,15352
81,lnorcliff28,578,1695,10772
84,skingston2b,599,2922,17197
86,choggin2d,510,2891,12525
87,dkeilty2e,1666,2338,16153
88,lholbarrow2f,2287,2978,12031
89,cgrimsdell2g,708,1049,10500
95,tquartermaine2m,1278,2148,11707
96,lkabsch2n,763,2913,18727
97,gmacsharry2o,1978,2629,12545
98,cdarkott2p,2724,3063,15374
99,apetrecz2q,2351,2852,18150
